title;description;url;image
1. TO-DO Web App;A distraction-free web app to help you focus on creating and completing Tasks.(A basic TODO APP); https://todo-webapp-adityasurve11.streamlit.app;1.png
2. Portfolio Web App;A website built entirely in Python to showcase coding projects and apps.; https://portfolioapp-adityasurve11.streamlit.app;img-portfolio.png
3. Astronomy Image of the day Web App;A website where every day a different astronomy Image of the day gets displayed along with it's information.; https://astronomy-img-app-adityasurve11.streamlit.app;101.png
4. Visualizing Weather Forecast Web App;A data web app that visualizes the weather forecast for the next five days of any city.;https://5-day-weather-forecast-adityasurve11.streamlit.app;weatherpng.png
5. PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines. (NOT A GUI APP); https://github.com/adityasurve11/APP4-pdf-template-NOTGUIAPP;pdfphoto.png
6. PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices. (NOT A GUI APP); https://github.com/adityasurve11/APP5-Invoice_generation-NOTGUIAPP;4.png
7. Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news. (NOT A GUI APP); https://github.com/adityasurve11/APP6-EMAILNews_NOTGUIAPP;5.png
8. Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.; https://github.com/adityasurve11/APP7-Historical-weather-API;6.png
Download Cleaner;A script that monitors the Downloads folder and deletes old files keeping the folder clean.;https://pythonhow.com;7.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://pythonhow.com;8.png
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://pythonhow.com;9.png
Open Domain Chatbot;A chatbot built that can discuss anything with a human and is built using the Facebook API.;https://pythonhow.com;10.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://pythonhow.com;11.png
Typing Analyzer;A program that monitors the computer keyboard and returns the most typed words of the session.;https://pythonhow.com;12.png
Internet Speed Analysis;A program that records the internet speed every few seconds and plots the values on the browser.;https://pythonhow.com;13.png
Monitoring Data;A program that monitors a particular website and periodically records the data to a remote server.;https://pythonhow.com;14.png
Visualizing Data;A program that visualizes the data collected in the previous monitoring program. ;https://pythonhow.com;15.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://pythonhow.com;17.png
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://pythonhow.com;18.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://pythonhow.com;19.png
Online Store;A Django online store app where users can place orders and sellers can manage them.;https://pythonhow.com;20.png